id_trab,tipo,01/01,02/01,03/01,04/01,05/01,06/01,07/01,08/01,09/01,10/01,11/01,12/01,13/01,14/01,15/01,16/01,17/01,18/01,19/01,20/01,21/01,22/01,23/01,24/01,25/01,26/01,27/01,28/01,29/01,30/01,31/01
PAT017,patron,VADN034,VADN032,LIBRE,VADN025,VADN022,VADN152,LIBRE,LIBRE,VADN003,VADN029,LIBRE,VADN152,LIBRE,LIBRE,VADN025,VADN006,VADN026,VADN005,VADN028,LIBRE,LIBRE,VADN003,VADN152,VADN030,LIBRE,VADN034,VADN029,VADN030,LIBRE,VADN005,LIBRE
PAT018,patron,LIBRE,LIBRE,VADN027,LIBRE,VADN040,LIBRE,LIBRE,VADN031,VADN052,VADN051,LIBRE,VADN040,LIBRE,VADN152,VADN005,VADN152,LIBRE,LIBRE,VADN029,VADN052,LIBRE,VADN030,VADN031,LIBRE,LIBRE,VADN031,LIBRE,VADN002,VADN002,VADN152,LIBRE
PAT019,patron,VADN005,VADN003,VADN052,LIBRE,LIBRE,LIBRE,VADN001,VADN004,VADN025,VADN025,VADN029,VADN028,LIBRE,LIBRE,VADN001,VADN001,VADN031,LIBRE,VADN001,LIBRE,VADN004,VADN006,VADN004,LIBRE,LIBRE,VADN028,LIBRE,VADN003,VADN003,VADN030,LIBRE
PAT020,patron,VADN026,VADN040,LIBRE,VADN052,LIBRE,LIBRE,VADN002,VADN029,VADN029,VADN034,LIBRE,VADN029,VADN032,LIBRE,VADN031,VADN052,LIBRE,LIBRE,VADN004,VADN040,VADN029,VADN040,VADN032,LIBRE,LIBRE,VADN029,LIBRE,VADN025,VADN040,VADN051,LIBRE
PAT021,patron,LIBRE,LIBRE,LIBRE,LIBRE,VADN031,VADN034,VADN028,VADN034,VADN032,LIBRE,LIBRE,VADN001,VADN029,VADN040,VADN040,VADN028,LIBRE,LIBRE,LIBRE,VADN152,VADN003,VADN004,VADN028,LIBRE,LIBRE,VADN001,VADN052,LIBRE,VADN030,VADN028,VADN026
PAT022,patron,VADN027,VADN028,VADN026,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,LIBRE,VADN030,VADN031,VADN040,VADN028,VADN052,LIBRE,VADN005,VADN006,VADN005,VADN003,VADN001
PAT023,patron,VADN051,VADN052,LIBRE,LIBRE,VADN001,VADN002,VADN006,VADN003,VADN022,LIBRE,LIBRE,VADN005,VADN152,VADN002,VADN003,VADN030,LIBRE,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC
PAT024,patron,LIBRE,VADN025,VADN001,VADN005,VADN052,LIBRE,VADN052,LIBRE,LIBRE,VADN038,LIBRE,VADN003,VADN003,VADN005,VADN002,VADN040,LIBRE,LIBRE,VADN031,VADN034,VADN028,LIBRE,LIBRE,VADN006,LIBRE,VADN004,VADN022,VADN004,VADN052,LIBRE,LIBRE
PAT025,patron,VADN052,VADN051,VADN051,LIBRE,LIBRE,LIBRE,VADN025,VADN152,VADN001,VADN001,VADN028,LIBRE,LIBRE,VADN031,LIBRE,VADN005,VADN029,LIBRE,VADN005,VADN003,VADN022,LIBRE,LIBRE,VADN051,LIBRE,LIBRE,VADN040,VADN028,VADN029,VADN040,LIBRE
PAT026,patron,VADN029,LIBRE,LIBRE,VADN022,VADN034,VADN031,VADN031,LIBRE,LIBRE,VADN031,LIBRE,VADN022,VADN002,LIBRE,LIBRE,VADN004,VADN025,LIBRE,VADN022,VADN051,LIBRE,VADN032,LIBRE,LIBRE,LIBRE,LIBRE,VADN025,VADN152,VADN152,VADN001,LIBRE
PAT027,patron,VADN006,VADN034,LIBRE,LIBRE,VADN030,VADN029,LIBRE,LIBRE,VADN004,VADN022,VADN025,LIBRE,VADN025,LIBRE,VADN052,VADN051,LIBRE,LIBRE,VADN052,LIBRE,VADN025,VADN052,LIBRE,LIBRE,VADN022,VADN152,VADN006,VADN029,LIBRE,VADN025,LIBRE
PAT028,patron,VADN031,LIBRE,VADN022,LIBRE,VADN051,VADN052,LIBRE,VADN022,VADN005,LIBRE,LIBRE,VADN025,VADN001,VADN003,VADN032,LIBRE,LIBRE,VADN022,LIBRE,LIBRE,VADN002,VADN025,VADN052,LIBRE,VADN040,LIBRE,VADN002,VADN031,LIBRE,VADN004,VADN025
PAT029,patron,LIBRE,VADN022,VADN025,VADN051,LIBRE,LIBRE,VADN003,VADN028,VADN028,LIBRE,VADN022,LIBRE,VADN022,VADN001,VADN034,LIBRE,LIBRE,VADN040,LIBRE,VADN002,VADN006,VADN005,LIBRE,LIBRE,VADN029,LIBRE,VADN031,LIBRE,VADN025,VADN022,LIBRE
