id_trab,tipo,01/01,02/01,03/01,04/01,05/01,06/01,07/01,08/01,09/01,10/01,11/01,12/01,13/01,14/01,15/01,16/01,17/01,18/01,19/01,20/01,21/01,22/01,23/01,24/01,25/01,26/01,27/01,28/01,29/01,30/01,31/01
FIJ015,fijo,LIBRE,VADN036,LIBRE,LIBRE,VADN036,LIBRE,VADN036,VADN036,VADN036,LIBRE,LIBRE,VADN036,VADN036,VADN036,VADN036,VADN036,LIBRE,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC
FIJ016,fijo,LIBRE,VADN037,LIBRE,LIBRE,VADN037,LIBRE,VADN037,VADN037,VADN037,LIBRE,LIBRE,VADN037,VADN037,VADN037,VADN037,VADN037,LIBRE,LIBRE,VADN037,VADN037,VADN037,VADN037,VADN037,LIBRE,LIBRE,VADN037,VADN037,VADN037,VADN037,VADN037,LIBRE
FIJ017,fijo,LIBRE,VADN039,LIBRE,LIBRE,VADN039,LIBRE,VADN039,VADN039,VADN039,LIBRE,LIBRE,VADN039,VADN039,VADN039,VADN039,VADN039,LIBRE,LIBRE,VADN039,VADN039,VADN039,VADN039,VADN039,LIBRE,LIBRE,VADN039,VADN039,VADN039,VADN039,VADN039,LIBRE
FIJ018,fijo,LIBRE,VADP001,LIBRE,LIBRE,VADP001,LIBRE,VADP001,VADP001,VADP001,LIBRE,LIBRE,VADP001,VADP001,VADP001,VADP001,VADP001,LIBRE,LIBRE,VADP001,VADP001,VADP001,VADP001,VADP001,LIBRE,LIBRE,VADP001,VADP001,VADP001,VADP001,VADP001,LIBRE
FIJ019,fijo,LIBRE,VADP002,LIBRE,LIBRE,VADP002,LIBRE,VADP002,VADP002,VADP002,LIBRE,LIBRE,VADP002,VADP002,VADP002,VADP002,VADP002,LIBRE,LIBRE,VADP002,VADP002,VADP002,VADP002,VADP002,LIBRE,LIBRE,VADP002,VADP002,VADP002,VADP002,VADP002,LIBRE
FIJ020,fijo,LIBRE,H,LIBRE,LIBRE,H,LIBRE,H,H,H,LIBRE,LIBRE,H,H,H,H,H,LIBRE,LIBRE,H,H,H,H,H,LIBRE,LIBRE,H,H,H,H,H,LIBRE
FIJ021,fijo,LIBRE,REF CAL M,LIBRE,LIBRE,REF CAL M,LIBRE,REF CAL M,REF CAL M,REF CAL M,LIBRE,LIBRE,REF CAL M,REF CAL M,REF CAL M,REF CAL M,REF CAL M,LIBRE,LIBRE,REF CAL M,REF CAL M,REF CAL M,REF CAL M,REF CAL M,LIBRE,LIBRE,REF CAL M,REF CAL M,REF CAL M,REF CAL M,REF CAL M,LIBRE
FIJ022,fijo,LIBRE,REF CAL T,LIBRE,LIBRE,REF CAL T,LIBRE,REF CAL T,REF CAL T,REF CAL T,LIBRE,LIBRE,REF CAL T,REF CAL T,REF CAL T,REF CAL T,REF CAL T,LIBRE,LIBRE,REF CAL T,REF CAL T,REF CAL T,REF CAL T,REF CAL T,LIBRE,LIBRE,REF CAL T,REF CAL T,REF CAL T,REF CAL T,REF CAL T,LIBRE
FIJ023,fijo,LIBRE,VADN151,LIBRE,LIBRE,VADN151,LIBRE,VADN151,VADN151,VADN151,LIBRE,LIBRE,VADN151,VADN151,VADN151,VADN151,VADN151,LIBRE,LIBRE,VADN151,VADN151,VADN151,VADN151,VADN151,LIBRE,LIBRE,VADN151,VADN151,VADN151,VADN151,VADN151,LIBRE
FIJ024,fijo,LIBRE,VADN153,LIBRE,LIBRE,VADN153,LIBRE,VADN153,VADN153,VADN153,LIBRE,LIBRE,VADN153,VADN153,VADN153,VADN153,VADN153,LIBRE,LIBRE,VADN153,VADN153,VADN153,VADN153,VADN153,LIBRE,LIBRE,VADN153,VADN153,VADN153,VADN153,VADN153,LIBRE
FIJ025,fijo,LIBRE,VADN161,LIBRE,LIBRE,VADN161,LIBRE,VADN161,VADN161,VADN161,LIBRE,LIBRE,VADN161,VADN161,VADN161,VADN161,VADN161,LIBRE,LIBRE,VADN161,VADN161,VADN161,VADN161,VADN161,LIBRE,LIBRE,VADN161,VADN161,VADN161,VADN161,VADN161,LIBRE
FIJ026,fijo,LIBRE,VADN164,LIBRE,LIBRE,VADN164,LIBRE,VADN164,VADN164,VADN164,LIBRE,LIBRE,VADN164,VADN164,VADN164,VADN164,VADN164,LIBRE,LIBRE,VADN164,VADN164,VADN164,VADN164,VADN164,LIBRE,LIBRE,VADN164,VADN164,VADN164,VADN164,VADN164,LIBRE
FIJ027,fijo,LIBRE,VADN171,LIBRE,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VADN171,VADN171,VADN171,VADN171,LIBRE,LIBRE,VADN171,VADN171,VADN171,VADN171,VADN171,LIBRE
FIJ028,fijo,LIBRE,VADN172,LIBRE,LIBRE,VADN172,LIBRE,VADN172,VADN172,VADN172,LIBRE,LIBRE,VADN172,VADN172,VADN172,VADN172,VADN172,LIBRE,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC
FIJ029,fijo,LIBRE,VADN174,LIBRE,LIBRE,VADN174,LIBRE,VADN174,VADN174,VADN174,LIBRE,LIBRE,VADN174,VADN174,VADN174,VADN174,VADN174,LIBRE,LIBRE,VADN174,VADN174,VADN174,VADN174,VADN174,LIBRE,LIBRE,VADN174,VADN174,VADN174,VADN174,VADN174,LIBRE
FIJ030,fijo,LIBRE,VADN175,LIBRE,LIBRE,VADN175,LIBRE,VADN175,VADN175,VADN175,LIBRE,LIBRE,VADN175,VADN175,VADN175,VADN175,VADN175,LIBRE,LIBRE,VADN175,VADN175,VADN175,VADN175,VADN175,LIBRE,LIBRE,VADN175,VADN175,VADN175,VADN175,VADN175,LIBRE
FIJ031,fijo,LIBRE,VADN176,LIBRE,LIBRE,VADN176,LIBRE,VADN176,VADN176,VADN176,LIBRE,LIBRE,VADN176,LIBRE,VADN176,VADN176,VADN176,LIBRE,LIBRE,LIBRE,VADN176,VADN176,VADN176,VADN176,LIBRE,LIBRE,LIBRE,VADN176,VADN176,VADN176,VADN176,LIBRE
FIJ032,fijo,LIBRE,VADN178,LIBRE,LIBRE,VADN178,LIBRE,VADN178,VADN178,VADN178,LIBRE,LIBRE,VADN178,VADN178,VADN178,VADN178,VADN178,LIBRE,LIBRE,VADN178,VADN178,VADN178,VADN178,VADN178,LIBRE,LIBRE,VADN178,VADN178,VADN178,VADN178,VADN178,LIBRE
FIJ033,fijo,LIBRE,VADN179,LIBRE,LIBRE,VADN179,LIBRE,VADN179,VADN179,VADN179,LIBRE,LIBRE,VADN179,VADN179,VADN179,VADN179,VADN179,LIBRE,LIBRE,VADN179,VADN179,VADN179,VADN179,VADN179,LIBRE,LIBRE,VADN179,VADN179,VADN179,VADN179,VADN179,LIBRE
FIJ034,fijo,LIBRE,VADN182,LIBRE,LIBRE,VADN182,LIBRE,VADN182,VADN182,VADN182,LIBRE,LIBRE,VADN182,VADN182,VADN182,VADN182,VADN182,LIBRE,LIBRE,VADN182,VADN182,VADN182,VADN182,VADN182,LIBRE,LIBRE,VADN182,VADN182,VADN182,VADN182,VADN182,LIBRE
FIJ035,fijo,LIBRE,VADN183,LIBRE,LIBRE,VADN183,LIBRE,VADN183,VADN183,VADN183,LIBRE,LIBRE,VADN183,VADN183,VADN183,VADN183,VADN183,LIBRE,LIBRE,VADN183,VADN183,VADN183,VADN183,VADN183,LIBRE,LIBRE,VADN183,VADN183,VADN183,VADN183,VADN183,LIBRE
FIJ036,fijo,LIBRE,VADN191,LIBRE,LIBRE,VADN191,LIBRE,VADN191,VADN191,VADN191,LIBRE,LIBRE,VADN191,VADN191,VADN191,VADN191,VADN191,LIBRE,LIBRE,VADN191,VADN191,VADN191,VADN191,VADN191,LIBRE,LIBRE,VADN191,VADN191,VADN191,VADN191,VADN191,LIBRE
FIJ037,fijo,LIBRE,VADN192,LIBRE,LIBRE,VADN192,LIBRE,VADN192,VADN192,VADN192,LIBRE,LIBRE,VADN192,VADN192,VADN192,VADN192,VADN192,LIBRE,LIBRE,VADN192,VADN192,VADN192,VADN192,VADN192,LIBRE,LIBRE,VADN192,VADN192,VADN192,VADN192,VADN192,LIBRE
FIJ038,fijo,LIBRE,VADN193,LIBRE,LIBRE,VADN193,LIBRE,VADN193,VADN193,VADN193,LIBRE,LIBRE,VADN193,VADN193,VADN193,VADN193,VADN193,LIBRE,LIBRE,VADN193,VADN193,VADN193,VADN193,VADN193,LIBRE,LIBRE,VADN193,VADN193,VADN193,VADN193,VADN193,LIBRE
FIJ039,fijo,LIBRE,VADN195,LIBRE,LIBRE,VADN195,LIBRE,VADN195,VADN195,VADN195,LIBRE,LIBRE,VADN195,VADN195,VADN195,VADN195,VADN195,LIBRE,LIBRE,VADN195,VADN195,VADN195,VADN195,VADN195,LIBRE,LIBRE,VADN195,VADN195,VADN195,VADN195,VADN195,LIBRE
MIX001,mixto,LIBRE,VADN007,LIBRE,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VADN007,VADN007,VADN007,VADN007,LIBRE,LIBRE,VADN007,VADN007,VADN007,VADN007,VADN007,LIBRE
MIX002,mixto,LIBRE,VADN008,VADN002,LIBRE,LIBRE,LIBRE,VADN008,VADN008,VADN008,VADN002,LIBRE,VADN008,VADN008,VADN008,VADN008,VADN008,LIBRE,LIBRE,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC
MIX003,mixto,LIBRE,VADN009,LIBRE,LIBRE,LIBRE,LIBRE,VADN009,VADN009,VADN009,VADN003,LIBRE,VADN009,VADN009,VADN009,VADN009,VADN009,LIBRE,LIBRE,VADN009,VADN009,VADN009,VADN009,VADN009,LIBRE,LIBRE,VADN009,VADN009,VADN009,VADN009,VADN009,VADN003
MIX004,mixto,LIBRE,VADN010,LIBRE,LIBRE,VADN010,LIBRE,VADN010,VADN010,VADN010,LIBRE,LIBRE,VADN010,VADN010,VADN010,VADN010,VADN010,LIBRE,LIBRE,VADN010,VADN010,VADN010,VADN010,VADN010,LIBRE,LIBRE,VADN010,VADN010,VADN010,VADN010,VADN010,VADN005
