id_trab,id_turno,lv,sab,dom,fest,v
PAT029,VADN022,1,1,1,1,0
PAT029,VADN025,1,1,1,1,0
PAT029,VADN028,1,1,1,1,0
PAT029,VADN029,1,1,1,1,0
PAT029,VADN030,1,1,0,1,0
PAT029,VADN031,1,1,0,1,0
PAT029,VADN032,1,0,0,1,0
PAT029,VADN034,1,1,0,1,0
PAT029,VADN040,1,0,1,0,0
PAT029,VADN051,1,1,1,1,0
PAT029,VADN052,1,1,1,1,0
PAT029,VADN027,0,1,0,1,0
PAT029,VADN038,0,1,0,1,0
PAT029,VADN026,0,1,0,1,0
PAT029,VADN152,1,1,0,1,0
PAT030,VADN001,1,1,0,1,0
PAT030,VADN002,1,1,0,1,0
PAT030,VADN003,1,1,0,1,0
PAT030,VADN004,1,0,0,1,0
PAT030,VADN005,1,1,1,1,0
PAT030,VADN006,1,1,0,1,0
PAT030,VADN022,1,1,1,1,0
PAT030,VADN025,1,1,1,1,0
PAT030,VADN028,1,1,1,1,0
PAT030,VADN029,1,1,1,1,0
PAT030,VADN030,1,1,0,1,0
PAT030,VADN031,1,1,0,1,0
PAT030,VADN032,1,0,0,1,0
PAT030,VADN034,1,1,0,1,0
PAT030,VADN040,1,0,1,0,0
PAT030,VADN051,1,1,1,1,0
PAT030,VADN052,1,1,1,1,0
PAT030,VADN027,0,1,0,1,0
PAT030,VADN038,0,1,0,1,0
PAT030,VADN026,0,1,0,1,0
PAT030,VADN152,1,1,0,1,0
PAT031,VADN001,1,1,0,1,0
PAT031,VADN002,1,1,0,1,0
PAT031,VADN003,1,1,0,1,0
PAT031,VADN004,1,0,0,1,0
PAT031,VADN005,1,1,1,1,0
PAT031,VADN006,1,1,0,1,0
PAT031,VADN022,1,1,1,1,0
PAT031,VADN025,1,1,1,1,0
PAT031,VADN028,1,1,1,1,0
PAT031,VADN029,1,1,1,1,0
PAT031,VADN030,1,1,0,1,0
PAT031,VADN031,1,1,0,1,0
PAT031,VADN032,1,0,0,1,0
PAT031,VADN034,1,1,0,1,0
PAT031,VADN040,1,0,1,0,0
PAT031,VADN051,1,1,1,1,0
PAT031,VADN052,1,1,1,1,0
PAT031,VADN027,0,1,0,1,0
PAT031,VADN038,0,1,0,1,0
PAT031,VADN026,0,1,0,1,0
PAT031,VADN152,1,1,0,1,0
PAT032,VADN001,1,1,0,1,0
PAT032,VADN002,1,1,0,1,0
PAT032,VADN003,1,1,0,1,0
PAT032,VADN004,1,0,0,1,0
PAT032,VADN005,1,1,1,1,0
PAT032,VADN006,1,1,0,1,0
PAT032,VADN022,1,1,1,1,0
PAT032,VADN025,1,1,1,1,0
PAT032,VADN028,1,1,1,1,0
PAT032,VADN029,1,1,1,1,0
PAT032,VADN030,1,1,0,1,0
PAT032,VADN031,1,1,0,1,0
PAT032,VADN032,1,0,0,1,0
PAT032,VADN034,1,1,0,1,0
PAT032,VADN040,1,0,1,0,0
PAT032,VADN051,1,1,1,1,0
PAT032,VADN052,1,1,1,1,0
PAT032,VADN027,0,1,0,1,0
PAT032,VADN038,0,1,0,1,0
PAT032,VADN026,0,1,0,1,0
PAT032,VADN152,1,1,0,1,0
PAT033,VADN001,1,1,0,1,0
PAT033,VADN002,1,1,0,1,0
PAT033,VADN003,1,1,0,1,0
PAT033,VADN004,1,0,0,1,0
PAT033,VADN005,1,1,1,1,0
PAT033,VADN006,1,1,0,1,0
PAT033,VADN022,1,1,1,1,0
PAT033,VADN025,1,1,1,1,0
PAT033,VADN028,1,1,1,1,0
PAT033,VADN029,1,1,1,1,0
PAT033,VADN030,1,1,0,1,0
PAT033,VADN031,1,1,0,1,0
PAT033,VADN032,1,0,0,1,0
PAT033,VADN034,1,1,0,1,0
PAT033,VADN040,1,0,1,0,0
PAT033,VADN051,1,1,1,1,0
PAT033,VADN052,1,1,1,1,0
